Q,anchor_index,phase_index,phase_in_P_line_units,support_rotation_offset,PC1,PC2,harmonic_PC1,harmonic_PC2,inferred_phase_radians,inferred_phase_speed,pointwise_generator_residual
550.0,5,365,1.5208333333333333,0.34641203703703705,-0.02924922727503995,-0.007095288586454389,-0.029202658898360618,-0.007105023306975904,4.784165005299523,13.791335828293926,0.002931902205162983
550.0,5,366,1.525,0.34736111111111106,-0.029375510496441316,-0.0068251953159110665,-0.029333574107279138,-0.006836351067316943,4.797253296524698,13.796195030614443,0.024468574750784917
550.0,5,367,1.5291666666666666,0.3483101851851852,-0.02949053995354032,-0.006552398118235743,-0.02945946315928404,-0.006566507454096191,4.810352227348375,13.806593747954219,0.027503739666982798
550.0,5,368,1.5333333333333334,0.34925925925925927,-0.02960503151775117,-0.006279445764995316,-0.029580304483934318,-0.006295538703627691,4.823460256879611,13.81118854979851,0.010181654357535977
550.0,5,369,1.5375,0.35020833333333334,-0.029720079986870835,-0.0060066885410509935,-0.0296960773756911,-0.0060234912450118265,4.8365679093179,13.810673145027083,0.008769504341069313
550.0,5,370,1.5416666666666667,0.35115740740740736,-0.02983473062843588,-0.005733829129740341,-0.029806761997465386,-0.005750411692180148,4.849674960534523,13.808257362344191,0.0343117243776385
550.0,5,371,1.5458333333333334,0.3521064814814815,-0.02995468952456838,-0.005461894927706343,-0.029912339384017033,-0.005476346835908213,4.862778027459386,13.798841043677733,0.03476615207182666
550.0,5,372,1.55,0.35305555555555557,-0.030059312634837052,-0.005187289343105904,-0.030012791445204374,-0.0052013436357982576,4.875867205108171,13.795650718619473,0.018835023773037037
550.0,5,373,1.5541666666666667,0.35400462962962964,-0.030137978746629907,-0.00490814546333464,-0.030108100969083854,-0.004925449212232896,4.888964216323433,13.805927211127472,0.04488148233989831
550.0,5,374,1.5583333333333333,0.35495370370370366,-0.030217403301389993,-0.004629125803643561,-0.030198251624859205,-0.004648710838301302,4.902072900277441,13.81305782129996,0.020874774795187834
550.0,5,375,1.5625,0.3559027777777778,-0.030299480357747235,-0.004350598105366902,-0.03028322796567966,-0.004371175931699193,4.915183446447196,13.815701339576357,0.003233558736235658
550.0,5,376,1.5666666666666667,0.35685185185185186,-0.03038046830249381,-0.004071855830122758,-0.03036301543128668,-0.0040928920466040625,4.928297148190525,13.815846197791302,0.019874183493202007
550.0,5,377,1.5708333333333333,0.35780092592592594,-0.03046325153343661,-0.00379332339168278,-0.030437600350508777,-0.003813906865527032,4.941407969322634,13.80846919191591,0.02834933615544594
550.0,5,378,1.575,0.35874999999999996,-0.03053871721325336,-0.003513983612491247,-0.030506969943604016,-0.003534268191142601,4.954507668415921,13.800760329312116,0.008380755075792029
550.0,5,379,1.5791666666666666,0.3596990740740741,-0.03059943335808825,-0.003232992105168582,-0.03057111232444972,-0.003254023938098118,4.967603856984754,13.803814607848036,0.022200045103703728
550.0,5,380,1.5833333333333333,0.36064814814814816,-0.03064709760824022,-0.0029505485857513674,-0.03063001650257916,-0.0029732221248035652,4.980709353551188,13.81437587728455,0.030726181253227573
550.0,5,381,1.5875,0.36159722222222224,-0.03069246813463664,-0.0026678257737085933,-0.03068367238506462,-0.0026919108652041536,4.993825588974044,13.820480068733522,0.014160915152461246
550.0,5,382,1.5916666666666666,0.36254629629629626,-0.030739163284216477,-0.0023852864807527153,-0.03073207077824689,-0.0024101383605359666,5.006942672200173,13.820426726518429,0.006080682275647063
550.0,5,383,1.5958333333333334,0.3634953703703704,-0.030784705253438557,-0.002102664971819922,-0.030775203389310436,-0.0021279528910671274,5.020058806371602,13.818850682936661,0.031304742805487056
550.0,5,384,1.6,0.36444444444444446,-0.030835706016009785,-0.0018203092661914042,-0.0308130628277044,-0.0018454028078251355,5.033172898033525,13.81044125097596,0.04127692979329371
550.0,5,385,1.6041666666666667,0.36539351851851853,-0.030876395963972635,-0.0015374433875247134,-0.030845642606408923,-0.0015625365243121818,5.046273069857251,13.804998386078287,0.009132707439890553
550.0,5,386,1.6083333333333334,0.36634259259259255,-0.030888118822556855,-0.0012531176278357682,-0.030872937143046637,-0.0012794025082097482,5.059376830155248,13.814160040215047,0.04693088658391312
550.0,5,387,1.6125,0.3672916666666666,-0.030896659642327445,-0.0009686223297703001,-0.030894941760839206,-0.0009960492730739137,5.072494392155807,13.822721914585506,0.02665211711626793
550.0,5,388,1.6166666666666667,0.36824074074074076,-0.03090935029067452,-0.0006843564361250841,-0.03091165268940865,-0.000712525370022834,5.085614404159785,13.825684969593025,0.004513363682274748
550.0,5,389,1.6208333333333333,0.36918981481481483,-0.03092061525340918,-0.00040001944612861945,-0.03092306706542338,-0.00042887937941765215,5.09873759047772,13.826805563558352,0.016998209255450362
