q,cell_index,center_start,cell_left,cell_right,cell_half_width,line_center_validation_radius,second_center_validation_radius,oriented_center_validation_radius,two_line_center_validation_radius,line_total_cell_radius,second_total_cell_radius,oriented_total_cell_radius,two_line_total_cell_radius,line_start_derivative_bound,second_start_derivative_bound,oriented_start_derivative_bound,two_line_start_derivative_bound,active_det_center,active_sigma_center,active_sigma_lower,active_orientation_pass,without_z_det_center,without_z_sigma_center,without_z_sigma_lower,without_z_orientation_pass,planar_separation_lower,active_norm_upper,mediation_margin_lower,mediation_pass,endpoint_separation_lower,endpoint_separation_pass,composition_enclosure_upper,all_structural_pass
550.0,20,660.373284288222,660.2969318576663,660.4496367187775,0.07635243055563024,2556.889241991817,2361.9324994739677,831429992.8643011,899223815.9030993,13379359.993886326,12359253.581123969,4350305898214.4043,4705003709474.292,1500451346.5693603,1386050223.9008837,487868832282432.44,527646451117166.1,-0.2862708064728416,0.3214350795805416,-4350305898214.083,False,0.05362934883111158,0.060890576165075094,-165358936754207.03,False,-169709214951260.5,4350305898215.351,-173842005554565.1,False,-9055309607688.684,False,169709268687304.22,False
550.0,21,660.525989149333,660.4496367187775,660.6023415798886,0.07635243055563024,2557.2600618123183,2361.975492604126,831404340.2823162,899198155.1107413,13379996.458587807,12358227.606156059,4350032696303.6753,4704771064390.18,1500505642.7895713,1385918776.970265,487836373609900.2,527619072457210.94,-0.2866371798857887,0.3214374631825648,-4350032696303.354,False,0.05364751606079441,0.06083531139891379,-165353075445771.4,False,-169703080436512.88,4350032696304.623,-173835611498002.28,False,-9054803760693.842,False,169703134171409.78,False
550.0,22,660.6786940104441,660.6023415798886,660.7550464409996,0.07635243055551655,2554.468209515611,2362.835610235748,830653639.2592697,898387478.7502812,13357409.614220992,12355399.48945745,4343811272349.4243,4697988001290.403,1497868155.5555444,1385505665.6255443,487108636939209.0,526825105375994.9,-0.2865155497420657,0.32144779553517666,-4343811272349.103,False,0.05365447352062285,0.06086976726291509,-165036165725141.03,False,-169379949329521.22,4343811272350.372,-173506570038254.06,False,-9041799273639.814,False,169380003012408.56,False
550.0,23,660.8313988715553,660.7550464409996,660.9077513021109,0.07635243055563024,2556.906134502912,2361.830733801424,831432410.2640209,899225509.2300456,13379156.445368458,12358461.704319248,4350223558255.305,4704905867698.569,1500424695.750806,1385958020.520889,487858354129404.06,527634081097807.75,-0.2862735348507295,0.32143478414477206,-4350223558254.984,False,0.053629118803531946,0.06088971027836549,-165345826401771.75,False,-169696022259666.5,4350223558256.252,-173828734640009.94,False,-9055129425953.861,False,169696075993606.06,False
550.0,24,660.9841037326664,660.9077513021109,661.0604561632219,0.07635243055551655,2557.2350428669133,2362.0594520416885,831390583.3692048,899189720.2058029,13380317.461708613,12359087.32391473,4350122347723.811,4704900751742.853,1500547560.597539,1386020696.9460523,487848544538327.2,527635892910465.8,-0.28664422551228164,0.3214378101848391,-4350122347723.4897,False,0.053648216162666164,0.06083468519559259,-165368545773357.94,False,-169718640414377.03,4350122347724.759,-173851256644715.56,False,-9055023099466.65,False,169718694151758.56,False
550.0,25,661.1368085937775,661.0604561632219,661.213161024333,0.07635243055551655,2554.6064694185693,2362.987384860301,830700223.0842876,898440553.1717643,13357750.771082582,12355839.820399383,4343919471476.3516,4698119582386.595,1497901411.6344543,1385550416.1578698,487118996826718.6,526837948993002.4,-0.2865055708656852,0.3214477346329621,-4343919471476.0303,False,0.05365398390144529,0.06087127883790829,-165046262686329.47,False,-169390154489124.94,4343919471477.299,-173516877987028.38,False,-9042039053862.934,False,169390208173650.56,False
550.0,26,661.2895134548886,661.213161024333,661.3658658854442,0.07635243055563024,2556.991275081351,2361.7849900394467,831452942.7656292,899250932.3651247,13379274.219359538,12357924.970914757,4350219011197.954,4704915288978.136,1500433611.0279686,1385893932.7872145,487856377631479.94,527633518903215.6,-0.2862767359666608,0.3214344992306166,-4350219011197.633,False,0.053628920663234485,0.060888783520262946,-165340100803451.3,False,-169690292114473.38,4350219011198.901,-173823000175112.34,False,-9055134300176.078,False,169690345847512.0,False
550.0,27,661.4422183159998,661.3658658854442,661.5185707465553,0.07635243055551655,2557.1787841417763,2362.068514960225,831378478.549326,899170545.2857379,13380469.797004754,12359544.527986748,4350220038814.224,4704974631186.56,1500570494.971827,1386077337.6145647,487861609241525.6,527646459892922.75,-0.28665093246519496,0.32143816438965145,-4350220038813.903,False,0.05364891038305562,0.06083412361048544,-165376546104493.6,False,-169726738436113.88,4350220038815.172,-173859447472988.28,False,-9055194670000.771,False,169726792174786.62,False
550.0,28,661.5949231771108,661.5185707465553,661.6712756076663,0.07635243055551655,2554.6350561009513,2363.0038521573815,830716096.8667228,898454890.0448078,13357614.49774313,12355644.47519934,4343871506224.529,4698093139780.355,1497882387.8881772,1385524824.5796685,487111902746630.56,526833655564289.0,-0.28649546897359296,0.3214476559934275,-4343871506224.2075,False,0.05365346849798032,0.06087278464985362,-165041969568328.0,False,-169385813406363.53,4343871506225.476,-173512491337277.72,False,-9041964646004.871,False,169385867090200.8,False
550.0,29,661.7476280382219,661.6712756076663,661.8239804687776,0.07635243055563024,2556.9284310962416,2361.6682593965047,831431004.2996657,899224201.9248095,13378590.161024392,12356979.202001987,4349986397069.894,4704647735489.017,1500352243.5985086,1385783480.7369347,487828747838198.56,527601841603084.6,-0.28628040382473435,0.3214342251224137,-4349986397069.5728,False,0.05362875489573747,0.06088779775469412,-165318994205359.3,False,-169668952903708.38,4349986397070.841,-173801439980925.7,False,-9054634132558.898,False,169669006633320.94,False
550.0,30,661.9003328993331,661.8239804687776,661.9766853298886,0.07635243055551655,2557.1228085595562,2362.1335989164095,831362445.686419,899151666.2730078,13380595.140222898,12360281.691916015,4350290200522.615,4705039529589.343,1500590029.5360937,1386165202.4706035,487871495335362.1,527655881857362.7,-0.286657281360033,0.32143852499019515,-4350290200522.294,False,0.053649596909548035,0.06083362845611536,-165387958982648.6,False,-169738221475197.5,4350290200523.563,-173870997165694.88,False,-9055329730111.945,False,169738275215693.28,False
550.0,31,662.0530377604441,661.9766853298886,662.1293901909996,0.07635243055551655,2554.77368669238,2363.150696770924,830763837.1804798,898507849.4192104,13358821.664967831,12356816.083667466,4344248174959.7676,4698525212884.926,1498024072.2133162,1385661493.2493682,487155805298988.7,526884139258494.56,-0.28648526579797634,0.3214475598604307,-4344248174959.4463,False,0.053652928356586166,0.06087428137035414,-165072536208982.75,False,-169416756713301.84,4344248174960.715,-173543792479514.53,False,-9042773387844.68,False,169416810402109.22,False
550.0,32,662.2057426215553,662.1293901909996,662.2820950521109,0.07635243055563024,2557.0046122250183,2361.654301063884,831449055.9638859,899246249.4565097,13378613.673153425,12356567.153667185,4349956661436.0576,4704626681347.41,1500349967.3911552,1385732830.7180536,487823786748500.2,527597694004116.44,-0.2862845326115567,0.3214339624843974,-4349956661435.7363,False,0.05362862212946571,0.06088675499549798,-165313772108542.03,False,-169663701071390.53,4349956661437.0044,-173796159899755.7,False,-9054583342783.455,False,169663754800167.66,False
550.0,33,662.3584474826664,662.2820950521109,662.4347999132219,0.07635243055551655,2557.098233991277,2362.1420324606597,831339577.3552916,899144181.3873981,13380866.082825555,12360692.421898626,4350315905372.9497,4705155780149.038,1500625647.6976275,1386216066.0230074,487876282000769.9,527670954560854.56,-0.2866632575422518,0.3214388910520489,-4350315905372.6284,False,0.053650274315128144,0.06083320107572799,-165396803833119.38,False,-169747092029993.2,4350315905373.8975,-173879892140098.38,False,-9055471685521.975,False,169747145771931.6,False
