half_steps,cell_index,cell_width,minimum_continuous_lower,left_minimum_lower,right_minimum_lower,left_first_bad_step,right_first_bad_step,maximum_reset_T_radius,maximum_reset_C_radius,maximum_local_T_tube_radius,maximum_local_C_tube_radius,maximum_short_transport_radius,maximum_local_rq,maximum_inverse_q,midpoint_T_center_gap,midpoint_C_center_gap,midpoint_T_overlap_margin,midpoint_C_overlap_margin,cell_pass
512,26,0.15270486111114678,0.0007592770875787523,0.0007712089544010518,0.0007592770875787523,-1,-1,0.06105087053710584,0.0037234071271740944,0.061582458770859785,0.0037557246961443906,0.0004059376083346801,0.0056717130767353135,0.0008476867576399954,3.779492191115652e-13,5.2606121013229785e-14,0.1216959500549314,0.007479534027942813,True
512,27,0.1527048611110331,0.0007487826123850123,0.0007689700483012647,0.0007487826123850123,-1,-1,0.06122827126225464,0.0037198669904469207,0.06176254820674334,0.003752175899739319,0.000405548546206759,0.005671442011986018,0.000846871878616349,7.127035421110147e-13,3.612930947683804e-14,0.12179791206840904,0.00747117397567334,True
512,28,0.15270486111114678,0.0007334896753902214,0.0007493014083449124,0.0007334896753902214,-1,-1,0.06118492154277278,0.0037187749236963544,0.06171823438648215,0.0037510740962420014,0.00040553314217051133,0.005671358433760432,0.0008468672784185663,5.85505242973547e-13,3.604027876726561e-14,0.12193697512838991,0.007471492667085678,True
512,29,0.15270486111114678,0.0007590472205484064,0.0007683812838832122,0.0007590472205484064,-1,-1,0.06106921288004064,0.0037235737872437624,0.061600918540539895,0.0037558927601300126,0.00040593584912864057,0.0056717656832851945,0.0008476864743058778,6.761526075676945e-13,3.740430065455391e-14,0.12178226031345575,0.007479638460865204,True
512,30,0.1527048611110331,0.0007509067818814353,0.0007676410057109207,0.0007509067818814353,-1,-1,0.06115955980562153,0.0037197719881833257,0.06169327736110525,0.0037520800651650254,0.0004055378387620148,0.005671607806930158,0.0008468497411542974,1.0054636897342237e-12,3.13664441108064e-14,0.12174742478622218,0.007471105133718588,True
512,31,0.15270486111114678,0.0007320690283911176,0.0007525097247687295,0.0007320690283911176,-1,-1,0.061218656335556045,0.003718805855226033,0.0617523131517548,0.0037511071762640485,0.0004055500654643613,0.0056715655120698275,0.0008469023477907522,6.801232593306954e-13,6.834641579888634e-14,0.12190185565487693,0.0074716767270921,True
512,32,0.15270486111114678,0.0007566919426600041,0.0007671122940662074,0.0007566919426600041,-1,-1,0.061138899474988864,0.003723679866138659,0.061671166590241314,0.0037559999231214633,0.00040594793601259575,0.005671778340523118,0.0008477120974364799,3.3461845952789145e-13,4.2742557663815385e-14,0.12188583002550069,0.007479639659364862,True
512,33,0.1527048611110331,0.0007531455199251187,0.000764187840047831,0.0007531455199251187,-1,-1,0.061090584350075486,0.003719645103299214,0.06162373649432799,0.0037519507246684485,0.00040552336450366626,0.005671384652983716,0.0008468197697216885,3.892902864356759e-13,3.402047966520323e-14,0.12174813778169614,0.007470955616486454,True
512,34,0.15270486111114678,0.0007351502310655055,0.0007558735428374526,0.0007351502310655055,-1,-1,0.06114975943211938,0.003718787565720154,0.061682899344339945,0.0037510890018061464,0.00040556277109740315,0.005671495505726313,0.0008469285781046572,3.561597478011842e-13,3.639271194533121e-14,0.12176365857168964,0.007471770134438347,True
512,35,0.15270486111114678,0.0007544449085438372,0.0007702860231855768,0.0007544449085438372,-1,-1,0.06120870775252497,0.0037237439125299356,0.06174155229100065,0.003756064877530458,0.00040595582907972685,0.005671809651690342,0.0008477281684811988,3.1656866273752344e-13,3.8561293139698737e-14,0.12188671206372025,0.007479533026485014,True
