q,sample_index,start_s,active_determinant,active_sigma_min,without_z_determinant,without_z_sigma_min,planar_failure_ratio,mediation_margin_tau,oriented_vs_two_line_separation,active_derivative_frobenius,without_z_derivative_frobenius,planar_derivative_frobenius,two_line_derivative_frobenius,composition_relative_residual,line_matrix_convergence,second_matrix_convergence,oriented_matrix_convergence,two_line_matrix_convergence,composed_matrix_convergence
550.0,29,661.7476280382219,-0.286280404772483,0.321434225795631,0.05362875387116656,0.06088779652049152,1.0148798890673547,0.06143237321862771,0.012559208508767752,0.004607180612342979,0.004403766780540584,0.000293840495936,0.004794672000664581,5.4698761102215477e-14,3.0283537695204026e-09,2.988681119298948e-09,4.894363592705237e-09,4.924210322286158e-09,4.894722828870505e-09
550.0,30,661.9003328993331,-0.2866572823065478,0.32143852566285447,0.05364959588333445,0.06083362722197502,1.0148431218755993,0.06146844484768821,0.012569684273106806,0.004978575354193416,0.0049828010297447226,9.547537360290473e-05,0.004890777190043306,5.96590107233064e-14,3.0309084570518936e-09,2.989803314477677e-09,4.893053651421532e-09,4.916051510172788e-09,4.89320679965161e-09
550.0,31,662.0530377604441,-0.2864852667460696,0.32144756053323337,0.05365292733116279,0.0608742801361545,1.0148606318094897,0.06145106167550729,0.012549343569366428,0.00970174276692091,0.009514463957888408,0.00035728168877470533,0.009802876719195523,8.496126901416623e-14,3.0253138167812692e-09,2.9877323867936892e-09,4.895675086053944e-09,4.91272545416804e-09,4.8945787597300865e-09
550.0,32,662.2057426215553,-0.28628453355983446,0.32143396315761563,0.05362862110440392,0.060886753760797885,1.0148794553068021,0.06143278501465177,0.012559763837636339,0.00501786616652791,0.004809872918700948,0.00030493833315423097,0.005206456913014473,6.694318949256112e-14,3.027843161224086e-09,2.9882828921249527e-09,4.905532336848481e-09,4.908402249743769e-09,4.904864957839595e-09
550.0,33,662.3584474826664,-0.2866632584963999,0.32143889172508117,0.05365027328899352,0.06083319984053458,1.0148425690751313,0.06146900104452857,0.012569432519654943,0.00459544074324014,0.004608981072898525,8.509028560702163e-05,0.004501334426307084,8.501184322232603e-14,3.027294256800005e-09,2.9856839613419598e-09,4.894750206292197e-09,4.9118174514550886e-09,4.8944588722002676e-09
550.0,34,662.5111523437774,-0.28647498371020874,0.32144744721114177,0.05365236353950744,0.060875764543241104,1.0148616371885137,0.061450079048954054,0.01254905203761014,0.009716991637201087,0.009535388666988023,0.000351242348168872,0.009807663731740286,7.624396900071804e-14,3.031214426654105e-09,2.9897189095881995e-09,4.889899571320965e-09,4.913331353938512e-09,4.8907552412805216e-09
550.0,35,662.6638572048886,-0.2862891178848998,0.3214337130805963,0.053628521902417035,0.06088565588596435,1.0148789773299496,0.06143323957434843,0.012560321105963246,0.005419514460755057,0.005207592390720129,0.00031659286874355965,0.00560878738491377,9.336544887956673e-14,3.0293203607974745e-09,2.9891691702783936e-09,4.891524966509196e-09,4.927239147363417e-09,4.892530217264628e-09
550.0,36,662.8165620659997,-0.2866688471730364,0.32143926261678946,0.0536509400691973,0.06083284152809895,1.0148420546042858,0.06146951930767952,0.012569155343960105,0.0042020831764346366,0.004224631837789784,7.755215577862715e-05,0.004094639206870099,6.368767011883073e-14,3.0312883211633387e-09,2.9890753150010874e-09,4.892218945322359e-09,4.916478665296956e-09,4.892753256437143e-09
550.0,37,662.9692669271108,-0.28646464503732666,0.32144731649804403,0.05365177722662215,0.0608772329261537,1.0148626476993003,0.061449093228920004,0.012548780393628044,0.009709036839132266,0.009533978866957987,0.00034430886656530447,0.009794666449887208,7.678247537987659e-14,3.02815851635165e-09,2.9899667511465174e-09,4.8894669095006565e-09,4.918370745111812e-09,4.889095073230151e-09
550.0,38,663.1219717882219,-0.28629414925026136,0.3214334758927297,0.05362845654441115,0.060884505050055306,1.0148784559941029,0.0614337360448185,0.012560879460209009,0.005812068601188461,0.005595893576982368,0.0003273488247580401,0.0060013815697963985,6.876423547085978e-14,3.02688122530916e-09,2.9876313045392e-09,4.908216357391955e-09,4.907451598488492e-09,4.907115795655894e-09
