Q,rotation_number,lambda_full,lambda_open,lambda_phase,lambda_kappa,branch_closure_residual,mean_line_overlap_with_previous_rotation
550.0,614,-0.12143010607698466,-0.16680302279291168,0.041524341439530765,0.0038485752763962894,-4.336808689942018e-17,0.3213302842223692
550.0,615,0.02865632247643833,-0.023822586750695873,0.048030442700256366,0.004448466526877876,-3.8163916471489756e-17,0.3049733610787216
550.0,616,0.10051814207319108,0.05461690628848493,0.04200522483753924,0.0038960109471669084,4.336808689942018e-18,0.3076327953266293
550.0,617,-0.18113190244278654,-0.23034906091918428,0.04501964929868155,0.004197509177716233,-4.163336342344337e-17,0.3198054498503069
550.0,618,0.2024995526577175,0.15230710377561107,0.04594088310368514,0.0042515657784213436,-6.591949208711867e-17,0.29710024834338566
550.0,619,-0.11492763889348526,-0.1602320821642444,0.04146185687887841,0.0038425863918808336,-1.0928757898653885e-16,0.321057399997634
550.0,620,0.0194560525541172,-0.03299855255068959,0.04800867930401424,0.004445925800792572,-2.5153490401663703e-17,0.30550750581027025
550.0,621,0.10770150146734705,0.06169495522001438,0.04210142863622283,0.0039051176111097505,9.93129189996722e-17,0.3070732680449257
550.0,622,-0.18402215461652688,-0.23306880309643196,0.0448634760496347,0.004183172430270282,1.0581813203458523e-16,0.320154693906093
550.0,623,0.20075093824754295,0.1504025382851934,0.04608322761599,0.004265172346359524,2.6020852139652106e-17,0.2970616997152403
550.0,624,-0.10823286976423324,-0.15347498807004323,0.04140500803065976,0.0038371102751501647,6.201636426617085e-17,0.32076388069995054
550.0,625,0.010227269967642104,-0.04219500042549793,0.04797959460476145,0.004442675788378582,2.6020852139652106e-18,0.3060497221500729
550.0,626,0.1147278158502488,0.06861098806522645,0.04220215905112529,0.003914668733897046,1.8214596497756474e-17,0.3065186793311614
550.0,627,-0.18651393245795347,-0.2353898026652301,0.044707091604060126,0.004168778603216438,6.418476861114186e-17,0.3204847758167817
550.0,628,0.19859933400121116,0.14809790390268454,0.04622284964168722,0.0042785804568394575,-6.071532165918825e-17,0.29704981323218743
550.0,629,-0.10135824540152759,-0.14654423597722535,0.04135384073997427,0.0038321498357236044,-1.1405806854547507e-16,0.3204502132872116
550.0,630,0.0009900277244294703,-0.05139194696209034,0.04794325171124361,0.004438722975276147,5.204170427930421e-17,0.30659890510783105
550.0,631,0.12158469537285543,0.07535275481168874,0.042307288806646574,0.003924651754520183,-6.158268339717665e-17,0.3059701398415149
550.0,632,-0.18860436233747332,-0.23730956117277258,0.04455083984404184,0.004154358991257443,-2.949029909160572e-17,0.3207951437468954
550.0,633,0.19604684630918864,0.145395659688794,0.04635942456853691,0.004291762051857768,-3.729655473350135e-17,0.2970646117343987
550.0,634,-0.09431620050222747,-0.13945230002574016,0.04130839239364539,0.0038277071298674194,-1.222980050563649e-16,0.320116921250563
550.0,635,-0.008235602120809146,-0.0605694079286211,0.04789973002532176,0.004434075782490111,8.239936510889834e-17,0.30715394457626916
550.0,636,0.1282597222857679,0.0819079868142886,0.04241668237491758,0.003935053096561698,2.688821387764051e-17,0.30542875670517566
550.0,637,-0.19029164089083644,-0.23882664593179442,0.04439506051335133,0.004139944527606772,-1.196959198423997e-16,0.3210852822689941
550.0,638,0.19309665376307797,0.14229933181581259,0.04649263241919467,0.004304689528070739,-2.6020852139652106e-17,0.2971060537346642
550.0,639,-0.0871191424745768,-0.1322116183209199,0.04126869237653726,0.0038237834698057922,4.5102810375396984e-17,0.31976456429293826
550.0,640,-0.01742956976188929,-0.06970743880665907,0.04784912509941568,0.004428743945354128,-3.5561831257524545e-17,0.3077137270569609
