Q,rotating_phase_fraction,H_total_mean,H_total_std,H_open_mean,H_open_std,H_phase_mean,H_phase_std,H_kappa_mean,H_kappa_std,abs_delta_x_mean,abs_delta_x_std,abs_delta_Theta_mean,abs_delta_Theta_std,abs_delta_Delta_mean,abs_delta_Delta_std,delta_rho_norm_mean,delta_rho_norm_std,abs_delta_activity_mean,abs_delta_activity_std,abs_delta_kappa_mean,abs_delta_kappa_std,base_activity_mean,base_activity_std,base_Delta_mean,base_Delta_std,share_local_mean,share_local_std,share_radial_mean,share_radial_std,share_rotating_mean,share_rotating_std,cycle_overlap_signed_mean,cycle_overlap_signed_std,cycle_overlap_line_mean,cycle_overlap_line_std
522.25,0.13055555555555556,0.03299046901853206,2.2114722643778304,-0.018668457378374765,2.2006788854140398,0.046389306476305764,0.03857777188388464,0.005269619920600936,0.0043681837516778566,0.008718958079765315,0.004779665552307914,0.33657674595999193,0.18536484943637646,1.009730237879976,0.5560945483091294,0.02100864574538568,0.009208711717780819,0.2104901347863704,0.11592443821269295,0.0015303740047457866,0.0008389392225209355,-1.6611343479635744e-08,1.0114056093623961e-05,-0.020259986465965222,3.1167532318690934,0.0022477485423392416,0.0008332933896567093,0.002087634047140579,0.00011521211468477587,0.9956646174105203,0.000725514577093965,0.1113705066378202,0.15423421654370476,0.15811671023091936,0.10475443139682485
522.25,0.1361111111111111,0.03413283760260392,2.2273322115180028,-0.017389544734763552,2.2162038332193448,0.046266592074328115,0.03837037709571557,0.005255790263039328,0.0043454293141432275,0.008700558719598512,0.004788743019716076,0.33720231060697864,0.18306120572380838,1.0116069318209353,0.5491836171714252,0.02097456091769684,0.009261053254202262,0.21088135444516407,0.11448377279824733,0.001527144501604973,0.000840532523007449,-2.1780852696005134e-08,1.0111043073877629e-05,-0.05386255456536584,3.141100789507453,0.0022452174204367495,0.0008298761039477691,0.002087901814207669,0.0001153499814282785,0.9956668807653554,0.0007220109148782558,0.11181281110177715,0.15507223864816597,0.15855694878899956,0.10578893086916448
522.25,0.14166666666666666,0.03323417305204905,2.244912782700397,-0.018138548559255323,2.2336456628543258,0.04613212692600694,0.038122112355939146,0.005240594685297472,0.004317877747740766,0.008691527779316494,0.004778947431279208,0.3376091107369002,0.18117063464364427,1.0128273322107006,0.5435119039309327,0.020938352541127324,0.009339670251150898,0.2111357610487551,0.11330143885044892,0.0015255593676796143,0.0008388131760662402,-2.682038377645244e-08,1.010835440241247e-05,2.8232242557620543e-06,3.1181910260154155,0.002242365645731298,0.0008253038437196091,0.002088243840158504,0.00011525664651305802,0.9956693905141102,0.0007176314879642683,0.11219815729992029,0.15606837924221714,0.1597880057800801,0.10578464011344545
522.25,0.14722222222222223,0.030290954298029197,2.2625785476813745,-0.020929132753510184,2.2513625944054962,0.04599502677906961,0.03785921068912211,0.00522506027246972,0.004288449802609503,0.008689493591193503,0.004756370632514946,0.33770755728196417,0.17996890776735555,1.0131226718458919,0.5399067233020666,0.020902327040561847,0.009440016579270318,0.21119732790502796,0.11254989823372588,0.001525202321734938,0.0008348504381309144,-3.1700660186955886e-08,1.0106067984265682e-05,2.8328828758361624e-06,3.1268118242046303,0.002239384201655441,0.0008200898822507821,0.0020886383353220074,0.00011496293732011664,0.9956719774630228,0.0007128490183683097,0.1125218233712205,0.1571284178734687,0.16126824901884046,0.10541794862847115
522.25,0.1527777777777778,0.025448062618552456,2.2790104420592416,-0.025626678196053666,2.2680130134131975,0.04586451148934366,0.03760763768938054,0.005210229325262394,0.00426005918820436,0.008702280651659443,0.004707060630062869,0.3378939898338406,0.17880043382588165,1.013681969501522,0.5364013014776451,0.020868837672553965,0.009555736184903112,0.21131392041297012,0.11181915037953695,0.0015274467395604572,0.0008261954193504316,-3.639346488373166e-08,1.0104275105953035e-05,0.015950651683621576,3.154355141066455,0.0022364716564302204,0.0008147735440954712,0.002089059952285574,0.00011451659257291631,0.995674468391284,0.0007081437787897131,0.1127807020248363,0.15816266889233777,0.16172423363796468,0.10652955809740038
522.25,0.15833333333333333,0.018980165195735074,2.2932573211098988,-0.03196617721064473,2.282613856579771,0.04574925642701894,0.037390836295549464,0.0051970859793608925,0.0042353568559335515,0.00871712960997297,0.00465694742889278,0.33814609895027686,0.17779431235018905,1.014438296850831,0.5333829370505669,0.020846199453846224,0.009665684610298427,0.2114715854225224,0.11118993677842644,0.0015300530670129672,0.0008173994210598465,-4.087185152918957e-08,1.0103078034330799e-05,0.09609537014468479,3.1582243227305713,0.0022338198876179186,0.0008098680210723603,0.0020894817659704787,0.00011397446715319683,0.9956766983464114,0.0007039599300440541,0.11297290282892739,0.1590933355386967,0.16244724887367457,0.10700244150092353
522.25,0.1638888888888889,0.011208284321365957,2.299666185909731,-0.039638066941851534,2.2894974437899993,0.045659552847296725,0.0371458801103313,0.005186798415920691,0.004207232964044505,0.008721196405146656,0.004621766715374019,0.3382157859274869,0.17702555821858698,1.0146473577824606,0.531076674655761,0.02084576529293419,0.009721701556046014,0.21151516684325986,0.11070916786560936,0.0015307668813884347,0.0008112244115065293,-4.508537710168295e-08,1.0097164562773817e-05,-0.09007300133773503,3.1529857368423726,0.002231656337173495,0.0008040437960622956,0.0020898720146096572,0.00011314770175396638,0.995678471648217,0.0006991266179902572,0.11309676841528458,0.159523101410947,0.16324206800833543,0.10654393803858983
522.25,0.16944444444444445,0.002751380235861352,2.300000420689405,-0.048030016272098006,2.2903809799133064,0.045601345029422105,0.03692252413252897,0.005180051478537308,0.004181357262738145,0.008729939079367711,0.004578233478644195,0.3384184857787896,0.17612033335225014,1.0152554573363686,0.5283610000567504,0.020865606575108407,0.009733786662405828,0.21164193106357457,0.11014305429084788,0.0015323014181114545,0.0008035833455415053,-4.901351200893234e-08,1.008888837029564e-05,-0.10471679390760166,3.1348132251840624,0.0022301281583595504,0.0007984246957590251,0.002090202665176149,0.00011219900082310633,0.9956796691764639,0.0006946000190213243,0.11315189116775558,0.15954914238427712,0.16283486681127157,0.10727382890662464
522.25,0.175,-0.005816038027248179,2.2970992103897427,-0.05656973516847661,2.288055671458325,0.04557661480441891,0.036781159597267694,0.005177082336809411,0.004164616340566693,0.008743987522370824,0.004532999958146308,0.33821805634309726,0.17638034126176522,1.014654169029292,0.5291410237852956,0.020904059679310753,0.009713982868015728,0.21151658380236063,0.11030566095801432,0.001534767237052482,0.0007956438413851824,-5.2646593076074564e-08,1.0081567870163057e-05,-0.10471678977430919,3.122293644766155,0.0022292978136239936,0.0007943745335295484,0.0020904561681337965,0.00011133044762799727,0.9956802460182423,0.0006915406697794929,0.11313859501925379,0.15935324903289275,0.16263730483094482,0.10727326044208994
522.25,0.18055555555555555,-0.01398222196797696,2.2909873394513554,-0.06474685352646865,2.282510450933572,0.0455865896390384,0.03673006620745969,0.005178041919453152,0.0041580073252166375,0.008751400955804466,0.004510845634395875,0.33807065745523895,0.17692299234953784,1.0142119723657168,0.5307689770486136,0.020957458490864563,0.00966476256180657,0.21142439053874046,0.11064504884998447,0.001536068462004933,0.0007917552573536719,-5.5963793010917184e-08,1.0075324365269063e-05,-0.10471678719982296,3.115032015949392,0.002229209665537085,0.0007921433120370514,0.0020906182039521003,0.00011059572048043301,0.9956801721305109,0.0006901338757316077,0.11305700693605328,0.15894080496605195,0.16270899176023074,0.1064602069314658
