period,full_rms_half_separation_x,full_smoothed_amplitude,full_fit_mask,replay_local_log_factor,replay_cumulative_lambda,mean_local_log_factor,mean_cumulative_lambda
100.0,1.086738781246439e-08,1.0567749611593962e-08,1,-1.9078018721450314,-1.8851704089243466,-1.9104743527457664,-1.8845779769996616
101.0,1.0531103785939713e-08,1.0637144714443994e-08,1,-1.8556550281781576,-1.88487817743181,-1.8581338473885405,-1.8843161539342048
102.0,1.0573991860047967e-08,1.0700963420182885e-08,1,-1.8369471303702793,-1.8844082652057166,-1.8356368861567802,-1.8838389062108967
103.0,1.1084419567113224e-08,1.0767271216365597e-08,1,-1.8658027119287017,-1.884227628766134,-1.8635028563062923,-1.8836414688331822
104.0,1.0447914075349119e-08,1.0836833446629842e-08,1,-1.911803122589405,-1.8844927777452039,-1.9084320387784384,-1.8838798396980405
105.0,1.1198926793377957e-08,1.0900103358234266e-08,1,-1.9334950261509254,-1.8849594658252584,-1.933086100170652,-1.8843484707501605
106.0,1.0878914937260932e-08,1.0971614967508875e-08,1,-1.9063690956395747,-1.8851614434650161,-1.908578637516927,-1.8845770572290923
107.0,1.0890341418070101e-08,1.103760158016284e-08,1,-1.8541994946726434,-1.8848720794576108,-1.8563801491660328,-1.88431353472383
108.0,1.1441977613486267e-08,1.1105818093469886e-08,1,-1.8372281636125074,-1.8844309320886747,-1.8359732287648618,-1.883865939298284
109.0,1.0777847138618945e-08,1.1177712257522014e-08,1,-1.8683917767064997,-1.8842837838741593,-1.8652282284290245,-1.8836949511251717
110.0,1.1540009359913187e-08,1.1242932110453179e-08,1,-1.9129447079983077,-1.8845443377298334,-1.909650709028056,-1.8839309125606525
111.0,1.1238385757521572e-08,1.131662107450137e-08,1,-1.933844161067747,-1.8849884802824273,-1.9331479053348815,-1.8843743088919518
112.0,1.1216440682725924e-08,1.138486504332894e-08,1,-1.9046624830807253,-1.8851641410216977,-1.9066272767891337,-1.8845729961053195
113.0,1.1810422433727216e-08,1.1455045759007407e-08,1,-1.8526194589309686,-1.8848761349854968,-1.854571731154453,-1.8843074981854004
114.0,1.1119066982756791e-08,1.1529339876431157e-08,1,-1.8388682860226224,-1.8844725573630154,-1.8363026417215087,-1.8838864029532612
115.0,1.1890912938305527e-08,1.1596564142137758e-08,1,-1.8687355478725267,-1.8843357138022285,-1.8666236296961503,-1.8837362918814602
116.0,1.1609856344640314e-08,1.1672491852052926e-08,1,-1.9143892124983457,-1.88459479568754,-1.911286318534566,-1.8839737921112283
117.0,1.1552562011258941e-08,1.1743060852126347e-08,1,-1.9338931446003855,-1.8850161490970514,-1.9331206304025814,-1.884393850558163
118.0,1.2190060983303043e-08,1.1815262895453352e-08,1,-1.9027538664992472,-1.885166468736053,-1.9053157445787814,-1.8845711547447785
119.0,1.1471911983123904e-08,1.1892032755760193e-08,1,-1.8519830720085633,-1.8848876166627127,-1.8528323473515136,-1.8843044420776083
120.0,1.2251923154940554e-08,1.1961360407371433e-08,1,-1.8375670974831735,-1.884493279002883,-1.8367165370446188,-1.8839078762023334
121.0,1.1993705646174524e-08,1.2039580102177931e-08,1,-1.8709769125349427,-1.8843815734948837,-1.868363019427624,-1.8837794063116333
122.0,1.189920026931514e-08,1.2112567035103821e-08,1,-1.9160034833986996,-1.8846407694777019,-1.913145561397907,-1.8840201125008649
123.0,1.2581159457335533e-08,1.2186848539598836e-08,1,-1.9337106491752802,-1.8850397115890642,-1.9330043161176458,-1.8844183580587248
124.0,1.1836846647753353e-08,1.2266173412711732e-08,1,-1.9021818895011324,-1.8851779549593228,-1.902869765776277,-1.8845671597338665
125.0,1.2623330677415626e-08,1.2337665385338469e-08,1,-1.8489930137031356,-1.8848884754292732,-1.8515854282586102,-1.8843033058820642
126.0,1.2390330011739006e-08,1.2418263936382082e-08,1,-1.8386217649621863,-1.8845212793144552,-1.8372103856498843,-1.8839295525468882
127.0,1.2256660132448822e-08,1.249376559617417e-08,1,-1.8728324817125712,-1.8844292415380626,-1.8701249279714927,-1.883820854715586
128.0,1.2984152212553602e-08,1.2570191655405933e-08,1,-1.9174628987807631,-1.8846873169852711,-1.9146836770900517,-1.8840619705153863
129.0,1.2214354946713793e-08,1.265215360570082e-08,1,-1.9347083953950972,-1.8850750772830216,-1.9332342270412233,-1.8844431507985322
130.0,1.3005460973574447e-08,1.2725881588881514e-08,1,-1.897671925724436,-1.8851719761171863,-1.900806677770171,-1.8845690240829294
131.0,1.2800139763213437e-08,1.2808895656509627e-08,1,-1.8480642004388825,-1.884888710653993,-1.8500061015798057,-1.884305184979852
132.0,1.2625300048352285e-08,1.2886972875623311e-08,1,-1.8394542784870485,-1.8845445104103042,-1.8382002407552942,-1.883955905099363
133.0,1.3399222550694174e-08,1.2965604533166696e-08,1,-1.8746532420311228,-1.8844701399713628,-1.8718932289781365,-1.8838652082864216
134.0,1.2604741042282203e-08,1.305025159114551e-08,1,-1.9186722093021116,-1.8847253792947267,-1.9161640033090859,-1.8841062440701728
135.0,1.339861926129138e-08,1.3126291512883229e-08,1,-1.9324438455251218,-1.8850788494149517,-1.9329425053762985,-1.884467994153922
136.0,1.3223375053107504e-08,1.3211796820385869e-08,1,-1.8964732929727133,-1.8851626320881707,-1.8987196066592837,-1.8845727854223435
137.0,1.3005499657040871e-08,1.3292561236685175e-08,1,-1.8469523783098132,-1.8848837251262849,-1.848509376404616,-1.8843095488601702
