period,full_local_log_factor,full_cumulative_lambda,full_rolling_lambda,full_x_rms_projection,phase_only_local_log_factor,phase_only_cumulative_lambda,phase_only_rolling_lambda,phase_only_x_rms_projection,kappa_only_local_log_factor,kappa_only_cumulative_lambda,kappa_only_rolling_lambda,kappa_only_x_rms_projection,open_local_log_factor,open_cumulative_lambda,open_rolling_lambda,open_x_rms_projection
140.0,-0.08530854059798709,-0.007473143882357295,0.005365800934389842,0.009051964934936766,0.07881817532390968,-0.010212376705311513,0.002992054097050689,0.009984120861606396,0.11087233910689671,-0.07515457989932264,-0.04396126449618345,0.009387099548936484,-1.9169831529535242,-1.8848300674649099,-1.8833610177235804,0.08330663031918482
141.0,0.17703666624306105,-0.006164563668701845,0.006465266136397715,0.00975369447295193,0.05151529186439074,-0.009774591821838449,0.0036118685193389567,0.00872162621459885,-0.2432461284327778,-0.07634671854140389,-0.045146201084735216,0.007928907984042803,-1.9331147496242616,-1.8851725120192317,-1.8852267973894228,0.08585945480216363
142.0,-0.18843947277881726,-0.007448189789195617,0.006543994290554983,0.00801077123269647,-0.1577986213217543,-0.010817014564795602,0.0031531395507519377,0.008566279679287912,0.12605862118815414,-0.07492132882499855,-0.04248326845987891,0.010163692744884099,-1.8987324243776478,-1.885268004359784,-1.886787769178315,0.09452956903459604
143.0,0.15180868101665265,-0.006334505377965908,0.0055622800006833424,0.010309006350131635,0.2016862419211154,-0.00933097780615287,0.0032738103606851253,0.010187854193201732,-0.10990943434169742,-0.07516600089154889,-0.04551722220805141,0.008010211051526685,-1.8481913420760419,-1.8850087270011566,-1.8864182936389262,0.10024328367475935
144.0,-0.01967612499958006,-0.006427155514227118,0.007118715412369056,0.008325964963336784,-0.15597886244433787,-0.010349365893918043,0.0036357586351178973,0.007942745027105345,-0.09565281698043822,-0.07530827044772173,-0.04272647813865475,0.009102299584455726,-1.8390851280169846,-1.884689813119322,-1.8846803232661593,0.0966844960080411
145.0,-0.09341137671921607,-0.007027046694951179,0.005385024370260371,0.009000918699978034,0.07549736615523618,-0.00975731946599284,0.0029902288920773236,0.009967341695875152,0.10031262814335853,-0.07409709183674876,-0.044078355318382376,0.009284421899774806,-1.8740575598098876,-1.8846164872344295,-1.8831875597404575,0.0883580253837508
146.0,0.1813122776969221,-0.0057370513224041025,0.006432986355326858,0.009805655473950655,0.054573772060535236,-0.009316695551427579,0.0036084005142533126,0.008740943250458048,-0.2433423756933455,-0.07525630610973914,-0.045018167682731924,0.007971064801377166,-1.9182612608615264,-1.8848469308894096,-1.8834047771283906,0.08324884254502138
147.0,-0.18631724477599904,-0.006965488012564612,0.00658964318883663,0.007996564420809564,-0.1598657664609171,-0.010340838890947916,0.003159575102564005,0.008549870534967358,0.13443153652155593,-0.07382985820068272,-0.04255206862140835,0.010177028663567232,-1.9327603401053566,-1.8851728724487016,-1.8853023299576896,0.08609912834952048
148.0,0.14536548039830163,-0.005936224712491192,0.005537394685523769,0.01028489053811438,0.20203221131829327,-0.008905885848993583,0.003268896533870852,0.010200789733797313,-0.12434228053340021,-0.07417115835157946,-0.04557215098171006,0.007961428202884901,-1.8968227015839823,-1.8852515875104265,-1.8868104028634007,0.0948463135847949
149.0,-0.011599481524773997,-0.0059742331474729555,0.007109714661678715,0.008363447533264328,-0.15397912120372728,-0.009879531723857568,0.0036394455155666474,0.007943797826425911,-0.07864885317012155,-0.07420120999465693,-0.042619939973571164,0.009199213379440909,-1.8469473439894584,-1.8849945120505545,-1.8863716898696694,0.10027846380868832
