eta_phase,eta_kappa,lambda_per_reference_period,block_standard_error,second_minus_first_drift
0.6666666666666666,0.6875,-0.011281803582270367,3.185886193205889e-06,-2.283923984544231e-05
0.6666666666666666,0.75,-0.011115857304772877,1.7825588656164723e-06,-1.2762576024599043e-05
0.6666666666666666,0.8125,-0.010954046032735084,8.526583715158933e-07,-6.0729232077404854e-06
0.6666666666666666,0.875,-0.010796064648107038,3.5676193680105145e-07,-2.453641601505782e-06
0.6666666666666666,0.9375,-0.010641540568558178,2.3159236257061583e-07,-1.4847504723677907e-06
0.6666666666666666,1.0,-0.010490027787760831,3.801163338304561e-07,-2.6324048106093206e-06
0.75,0.0,-0.009101901977354356,1.6639712882158132e-05,-0.00011940790859752727
0.75,0.0625,-0.008913590090492415,1.280454323138538e-05,-9.188088677924457e-05
0.75,0.125,-0.00873008776507564,9.48602172557353e-06,-6.805915855634392e-05
0.75,0.1875,-0.008551356149174164,6.693801444423586e-06,-4.8015189303292e-05
0.75,0.25,-0.00837730859954953,4.42791320410602e-06,-3.1750652856604375e-05
0.75,0.3125,-0.008207808792406351,2.6784459125617503e-06,-1.919378219764588e-05
0.75,0.375,-0.008042667615617623,1.42512630262489e-06,-1.0194409896656376e-05
0.75,0.4375,-0.007881638956381337,6.37466316851204e-07,-4.516899011132447e-06
0.75,0.5,-0.007724414567130245,2.7494714579198907e-07,-1.8312964022776032e-06
0.75,0.5625,-0.007570618292759289,2.587455118827216e-07,-1.7032332573566067e-06
0.75,0.625,-0.007419800081398432,5.087986055250799e-07,-3.5833670632657785e-06
0.75,0.6875,-0.007271430383403415,9.548320447724436e-07,-6.79751412275241e-06
0.75,0.75,-0.007124895766498486,1.4862309315602872e-06,-1.0539057181368529e-05
0.75,0.8125,-0.006979496824547588,1.980345671807326e-06,-1.3865700049475911e-05
0.75,0.875,-0.006834449700102756,2.3132814067897935e-06,-1.570311443914972e-05
0.75,0.9375,-0.006688892718761311,2.39286814941635e-06,-1.485836842655009e-05
0.75,1.0,-0.006541899661402962,2.28630313770504e-06,-1.0046071795231752e-05
0.8333333333333333,0.0,-0.004968460750040955,1.0894130998334604e-06,-7.780703502480862e-06
0.8333333333333333,0.0625,-0.004808430971302039,4.56176510178669e-07,-3.194385794541045e-06
0.8333333333333333,0.125,-0.004652158851310421,2.3368395754100235e-07,-1.5050305342129144e-06
0.8333333333333333,0.1875,-0.004499260280740552,3.3042654252920054e-07,-2.2581153927446126e-06
0.8333333333333333,0.25,-0.004349276461942706,6.876913035472071e-07,-4.882477107226446e-06
0.8333333333333333,0.3125,-0.004201668378177571,1.2194498640814701e-06,-8.680605947128904e-06
0.8333333333333333,0.375,-0.004055812592572624,1.8120735109775356e-06,-1.2821449879549945e-05
0.8333333333333333,0.4375,-0.003910999485821883,2.342386431896241e-06,-1.6337864634354514e-05
0.8333333333333333,0.5,-0.0037664352814097135,2.6880896061899526e-06,-1.8131313305793425e-05
0.8333333333333333,0.5625,-0.003621249373538756,2.764592320607421e-06,-1.6986740196341804e-05
0.8333333333333333,0.625,-0.0034745084776633523,2.65785670393608e-06,-1.1600542550832017e-05
0.8333333333333333,0.6875,-0.0033252388595254815,2.986900435283106e-06,-6.240277386406617e-07
0.8333333333333333,0.75,-0.0031724572646507627,4.727694701467484e-06,1.727652872674087e-05
0.8333333333333333,0.8125,-0.003015210114544847,8.071131673425748e-06,4.334421919723183e-05
0.8333333333333333,0.875,-0.002852619111837951,1.2900910070691221e-05,7.864406840474465e-05
0.8333333333333333,0.9375,-0.0026839298100513106,1.919069019108887e-05,0.00012397081671743646
0.8333333333333333,1.0,-0.0025085583157749944,2.6930040506217946e-05,0.0001797616602103127
0.9166666666666666,0.0,-0.0009866591668483743,2.1746957524034807e-06,-1.534397096777094e-05
0.9166666666666666,0.0625,-0.0008424314704047228,2.7249178357525637e-06,-1.8912799236404433e-05
0.9166666666666666,0.125,-0.0006983042367170771,3.0631352870537397e-06,-2.0471089963629415e-05
0.9166666666666666,0.1875,-0.0005533946066011678,3.117808843661223e-06,-1.877780028802388e-05
0.9166666666666666,0.25,-0.0004067600945214933,3.013665009817429e-06,-1.250953295330639e-05
0.9166666666666666,0.3125,-0.00025742230372452957,3.428564400095114e-06,-3.069891447277074e-07
0.9166666666666666,0.375,-0.00010439937227257025,5.33275024119621e-06,1.9161914494541008e-05
0.9166666666666666,0.4375,5.325350353461203e-05,8.903394691644367e-06,4.712369942275581e-05
0.9166666666666666,0.5,0.00021639759629726743,1.4015916555675194e-05,8.461012481908055e-05
0.9166666666666666,0.5625,0.0003857619394139127,2.0628122291765368e-05,0.0001323656641638774
0.9166666666666666,0.625,0.0005618974119151857,2.8713824631162144e-05,0.00019076178998576144
0.9166666666666666,0.6875,0.0007451392388726274,3.820980011897081e-05,0.00025972934760719346
0.9166666666666666,0.75,0.0009355830547703308,4.899668467845107e-05,0.0003387192969297499
0.9166666666666666,0.8125,0.0011330780539699596,6.089644884954998e-05,0.0004266987922391499
0.9166666666666666,0.875,0.0013372382696226082,7.367951565859434e-05,0.0005221845328610931
0.9166666666666666,0.9375,0.001547470275484316,8.707808818589993e-05,0.0006233097467418657
0.9166666666666666,1.0,0.0017630132881895626,0.0001008029415060234,0.0007279164582536871
1.0,0.0,0.0029644987702766453,6.11146934382935e-06,2.263691147330691e-05
1.0,0.0625,0.0031228448202580555,9.998670422458393e-06,5.295521007890689e-05
1.0,0.125,0.00328686102704419,1.547000929082967e-05,9.310865914808958e-05
1.0,0.1875,0.003457241534477473,2.247266580772703e-05,0.0001437713497926766
1.0,0.25,0.0036344930559221974,3.0964817485069435e-05,0.00020522604753962174
1.0,0.3125,0.0038188998917435906,4.086618114192841e-05,0.0002773016547015965
1.0,0.375,0.0040105034769896426,5.204055862998889e-05,0.0003593409748549798
1.0,0.4375,0.004209099502359894,6.429465429030538e-05,0.0004502047846290068
1.0,0.5,0.004414253047540637,7.738637612625564e-05,0.0005483129380181246
1.0,0.5625,0.004625329450229484,9.103902556916898e-05,0.0006517177197549193
1.0,0.625,0.004841536488682822,0.00010495850061824023,0.0007582002963430288
1.0,0.6875,0.005061972352210076,0.0001188509264638003,0.0008653788364862388
1.0,0.75,0.005285673927552784,0.0001324385896970361,0.0009708169239930212
1.0,0.8125,0.005511660914868342,0.00014547273795131988,0.0010721228239070077
1.0,0.875,0.005738972785726728,0.00015774257449432515,0.0011670331542127169
1.0,0.9375,0.005966697172090632,0.00016908046082043398,0.0012534776951121313
1.0,1.0,0.006193989609193348,0.00017936382998553417,0.0013296247957210105
