period,full_local_log_factor,full_cumulative_lambda,full_x_rms_half_separation,full_end_local_norm,phase_only_local_log_factor,phase_only_cumulative_lambda,phase_only_x_rms_half_separation,phase_only_end_local_norm,kappa_only_local_log_factor,kappa_only_cumulative_lambda,kappa_only_x_rms_half_separation,kappa_only_end_local_norm,open_local_log_factor,open_cumulative_lambda,open_x_rms_half_separation,open_end_local_norm
25.0,0.002180582852642053,-0.19035340368917478,8.044610716801983e-07,1.0021829620534661e-06,-0.0578705367554357,-0.1969860980069943,7.819025050115652e-07,9.437721233301435e-07,0.02275768333397635,-0.3437193919746593,8.154633528877217e-07,1.0230186150512557e-06,0.21909094961061779,-1.1737154771204727,9.200944907962214e-07,1.2449444987573493e-06
26.0,-0.1960506176150756,-0.19057252730170943,7.573661086582939e-07,8.219706274331649e-07,-0.13718760102041472,-0.19468615581520277,7.769820722646704e-07,8.718066589719506e-07,-0.3010987656153327,-0.34208013711468516,7.197309077543058e-07,7.400046821203082e-07,-0.3676117561459217,-1.1427114878522209,6.947783064769153e-07,6.923859441008168e-07
27.0,0.3038753894675924,-0.17225964149543901,9.655796735321599e-07,1.3551001858141182e-06,0.26753610329739214,-0.17756681288510667,9.412923921104018e-07,1.3067408066377272e-06,0.27482380453964783,-0.3192318429793395,9.578827598108356e-07,1.316298728575154e-06,0.21652229622739938,-1.092369495849272,9.328267328935555e-07,1.241750771403995e-06
28.0,-0.28937903966962286,-0.176442477144517,7.174136740213578e-07,7.487283538634342e-07,-0.31522184159542643,-0.18248306391047525,7.129293337464962e-07,7.296269946980693e-07,-0.3133752086691775,-0.31902267746826224,7.050511638873177e-07,7.309755927298912e-07,-0.12385674931440646,-1.0577797549015981,7.583544704969805e-07,8.835063947157256e-07
29.0,0.20414623773159477,-0.16331872835568556,9.248553153501851e-07,1.2264774976307804e-06,0.2573175382403,-0.1673175259052761,9.527735051823762e-07,1.2934557832309427e-06,0.11010925752204431,-0.304225024537562,8.783793103728728e-07,1.116400038898742e-06,-0.16138169767239158,-1.0268694770661084,7.648894694273788e-07,8.509671969117418e-07
30.0,0.014670935940629659,-0.15738573954580837,8.095143996636757e-07,1.0147790823447663e-06,-0.05308717215886578,-0.1635098474470624,7.836282368073395e-07,9.482973437533915e-07,-0.0007333742131687308,-0.2941086361934156,8.052540592023902e-07,9.992668946409715e-07,0.19778406856041295,-0.9860476922118909,9.068840889589892e-07,1.2186992099342217e-06
31.0,-0.20793605674635718,-0.15901639493937447,7.534311186071484e-07,8.122589735337973e-07,-0.14254961741553307,-0.16283371099443242,7.750982523290462e-07,8.671445277553374e-07,-0.28210979483432724,-0.2937215767947353,7.256131219823198e-07,7.541908737257952e-07,-0.37257102899546757,-0.966258122430716,6.946062152758352e-07,6.889607136331787e-07
32.0,0.3093967012064593,-0.14437848568481715,9.696471159639285e-07,1.3626028094797453e-06,0.27062268868774525,-0.14928819850436437,9.433229879619208e-07,1.3107804047956952e-06,0.26777505601731744,-0.27617480701935865,9.524294368435236e-07,1.3070530932170886e-06,0.23743926102785123,-0.9286425791976357,9.440523862293688e-07,1.267997977559133e-06
33.0,-0.2831582071211143,-0.14858393178894735,7.185647821557649e-07,7.534005850937427e-07,-0.3139617878112948,-0.15427830727124103,7.130571163457797e-07,7.305469434244606e-07,-0.3273490978872703,-0.27772554310626507,7.02126058873103e-07,7.208320581499779e-07,-0.15437297860711538,-0.9051798640282259,7.482003447229098e-07,8.569523365094449e-07
34.0,0.1916477061069152,-0.1385771189096573,9.184221545050694e-07,1.2112437280245372e-06,0.25352068279953455,-0.14228421932798294,9.507288947753448e-07,1.2885540301156688e-06,0.13513337671021478,-0.265582633699898,8.907213996572063e-07,1.1446894490842094e-06,-0.1246687802175454,-0.8822236556808529,7.780900590180197e-07,8.827892514307569e-07
35.0,0.027153540047249628,-0.13384195722517425,8.146811065339139e-07,1.0275255569759807e-06,-0.04829444358379575,-0.1395987971638633,7.853731670687875e-07,9.528531842632303e-07,-0.02439599277546579,-0.2586915868163428,7.953859748333627e-07,9.758991842067447e-07,0.17416849854600347,-0.8520410227029428,8.928863616426727e-07,1.190256105348892e-06
36.0,-0.21935728618234263,-0.13621738302954,7.496840790039153e-07,8.030347536718325e-07,-0.14786654224018422,-0.13982845674931665,7.732417087360899e-07,8.625462207482142e-07,-0.2612215508951735,-0.2587618635963103,7.321647972873862e-07,7.701102820917197e-07,-0.3733573771611356,-0.8387442547712259,6.954511232355044e-07,6.884191635911424e-07
37.0,0.3143673433022199,-0.12403941745300595,9.734111660074705e-07,1.3693926813959983e-06,0.2736455939009,-0.1286534824074189,9.453266488197858e-07,1.314748764680654e-06,0.25864027865830375,-0.2447780219137532,9.457798959373726e-07,1.2951678215158201e-06,0.25435299051760885,-0.8092010859796357,9.530578881918033e-07,1.28962695001791e-06
38.0,-0.27644313227396344,-0.1280500415272417,7.198701015463063e-07,7.584767507540858e-07,-0.3126100568199069,-0.13349444489195808,7.132090724982398e-07,7.315351140885433e-07,-0.33961794672640316,-0.2472738094088229,6.997348120495374e-07,7.120423088984707e-07,-0.18410411208815242,-0.7927511656140704,7.388708380625426e-07,8.318491937624141e-07
39.0,0.17873969288050337,-0.12018363808088925,9.118579976281502e-07,1.1957094519718523e-06,0.24963943813820608,-0.12367049917323591,9.486424398826206e-07,1.2835625295489328e-06,0.158758156610391,-0.2368627333570482,9.02670275388958e-07,1.1720544587803165e-06,-0.08692866012372491,-0.7746531526527795,7.922935896508998e-07,9.167424935973694e-07
40.0,0.039613051040782436,-0.11618872085284745,8.199561388380164e-07,1.0404081114576e-06,-0.043493504784164916,-0.12166607431350913,7.871370539760818e-07,9.574387728432069e-07,-0.04813523615410532,-0.2321445459269746,7.858921685986088e-07,9.530048976461976e-07,0.1485817525095357,-0.7515722800237217,8.783992055851594e-07,1.1601876421499297e-06
41.0,-0.23026199548787096,-0.1189709958439456,7.461306595006648e-07,7.943254655519724e-07,-0.1531289069200232,-0.12243346047464362,7.714133297052321e-07,8.580191100822947e-07,-0.23861147033784993,-0.23230227579065446,7.393865054740597e-07,7.87720875851618e-07,-0.36981538535191694,-0.7422611362512386,6.973382197975229e-07,6.908618620851395e-07
42.0,0.31877136104567266,-0.10854855877514517,9.768513703194654e-07,1.3754368105195644e-06,0.27660328247265703,-0.11293258564256503,9.473018703240761e-07,1.3186431384100459e-06,0.2475571582310125,-0.22087705117109097,9.380739025599838e-07,1.2808925738463021e-06,0.26704045265685655,-0.718230146039141,9.595663062121329e-07,1.306093280206605e-06
43.0,-0.26925691667273854,-0.11228596244718222,7.213282469705014e-07,7.63946959723154e-07,-0.31116805249577506,-0.11754271277868619,7.13384973329921e-07,7.325907518204779e-07,-0.3500294960594449,-0.22388059640105268,6.978853098682352e-07,7.046673045041762e-07,-0.212793209002123,-0.7064757986661871,7.303868387539761e-07,8.083232739119385e-07
44.0,0.16544581451062976,-0.10597387660723195,9.05186265118893e-07,1.1799190264985798e-06,0.24567496143963363,-0.10928776563736074,9.465156998264008e-07,1.2784839494173725e-06,0.18078235220143554,-0.2146837112055416,9.14055411264161e-07,1.198154375251601e-06,-0.048653431989873354,-0.6915252903326345,8.073913210070618e-07,9.52511182408409e-07
45.0,0.05203627764911187,-0.10246253984597986,8.253351931538291e-07,1.0534139572031535e-06,-0.0386845141006765,-0.10771880449210108,7.889199939405838e-07,9.62054175801937e-07,-0.07185867147264684,-0.2115098214336995,7.767994803485785e-07,9.306624156668329e-07,0.1213436625668367,-0.6734615358237573,8.636861873198037e-07,1.1290128451580242e-06
46.0,-0.24063914872991352,-0.10546637916954364,7.427681748089046e-07,7.861252495079044e-07,-0.15834538327143674,-0.10881938229165186,7.696122126088644e-07,8.535549274601621e-07,-0.21447344120461703,-0.2115742479504586,7.472750237865596e-07,8.069662434994475e-07,-0.36187428629546026,-0.6666878999644466,7.002947573429181e-07,6.963699055805659e-07
47.0,0.3225886571119678,-0.09635882520610722,9.799468081208056e-07,1.3806972940695104e-06,0.27949478397188815,-0.10055737875412973,9.49247361190678e-07,1.3224615147818275e-06,0.23467659911983776,-0.20207954907662248,9.294588017113564e-07,1.264499762265114e-06,0.2753701289060384,-0.6466441121161385,9.633907940951009e-07,1.3170180511178483e-06
48.0,-0.2616220628259519,-0.09980180932318732,7.229381814850169e-07,7.698019054941022e-07,-0.30963650682128846,-0.10491319392219554,7.135849151740394e-07,7.337136076506085e-07,-0.35844917937715964,-0.2053372497078837,6.965842186551167e-07,6.987591363114763e-07,-0.24016487469491363,-0.6381757946698629,7.227649279835277e-07,7.864981767298626e-07
49.0,0.15181223602624205,-0.09466682880585202,8.984357268205446e-07,1.1639416696013236e-06,0.24162880109006993,-0.09784090830970033,9.44350166620227e-07,1.273321449547941e-06,0.20102884476474442,-0.1970440641064015,9.247038007130604e-07,1.222660038657093e-06,-0.010345730413020412,-0.6253629362156417,8.232342657496359e-07,9.897076025754965e-07
50.0,0.06441021643634305,-0.09148528790100813,8.308133882092e-07,1.0665298170991659e-06,-0.03386909374674332,-0.09656147201844117,7.907215575649448e-07,9.666980431748123e-07,-0.09547817791951689,-0.1950127463826638,7.68128673736998e-07,9.089381963606373e-07,0.09275423014156334,-0.6110005928884976,8.489753630732072e-07,1.0971920453960412e-06
51.0,-0.2504591720953544,-0.09460242288521098,7.395969041261811e-07,7.784432615729864e-07,-0.16350302737343936,-0.09787405153520584,7.678397165701159e-07,8.491639282622198e-07,-0.18900826877513227,-0.19489501152761418,7.558217069284288e-07,8.27779661943379e-07,-0.3495588303967782,-0.6058742838200325,7.043475539481899e-07,7.049990452713801e-07
52.0,0.3257957524801629,-0.08651784258972303,9.826768557662308e-07,1.3851324301168867e-06,0.28231901421534256,-0.09056264642461836,9.511622006940713e-07,1.3262017297156636e-06,0.2201477114205385,-0.18691342070168815,9.200838070912355e-07,1.2462608039471362e-06,0.27930291552040126,-0.588851645371178,9.644457812599836e-07,1.322207800479499e-06
53.0,-0.2535617883345032,-0.08966961515094529,7.246988371585887e-07,7.760317937324598e-07,-0.3080166107829685,-0.09466555141251176,7.138087168824083e-07,7.349031105923437e-07,-0.36473738544560474,-0.1902685898477998,6.958409379549699e-07,6.943789809630253e-07,-0.2659187165222179,-0.5827585712419523,7.160206473355596e-07,7.66501428871579e-07
