Q,lag_support_rotations,lag_line_strokes,signed_overlap,line_overlap_absolute
550.0,0.15138888888888888,0.6646341463414633,-0.4938297663401242,0.4938297663401242
550.0,0.1527777777777778,0.6707317073170732,-0.5103399656556808,0.5103399656556808
550.0,0.15416666666666667,0.676829268292683,-0.5266700302787497,0.5266700302787497
550.0,0.15555555555555556,0.6829268292682927,-0.5428139210314484,0.5428139210314484
550.0,0.15694444444444444,0.6890243902439025,-0.5587656450492287,0.5587656450492287
550.0,0.15833333333333333,0.6951219512195121,-0.5745192439707537,0.5745192439707537
550.0,0.1597222222222222,0.7012195121951219,-0.590068809772418,0.590068809772418
550.0,0.16111111111111112,0.7073170731707318,-0.605408487766743,0.605408487766743
550.0,0.1625,0.7134146341463415,-0.6205324782360326,0.6205324782360326
550.0,0.1638888888888889,0.7195121951219512,-0.6354350366616482,0.6354350366616482
550.0,0.16527777777777777,0.725609756097561,-0.6501104678818556,0.6501104678818556
550.0,0.16666666666666666,0.7317073170731707,-0.6645531425679376,0.6645531425679376
550.0,0.16805555555555557,0.7378048780487806,-0.6787574957331902,0.6787574957331902
550.0,0.16944444444444445,0.7439024390243903,-0.6927180301187331,0.6927180301187331
550.0,0.17083333333333334,0.75,-0.7064293141491362,0.7064293141491362
550.0,0.17222222222222222,0.7560975609756098,-0.7198859866003279,0.7198859866003279
550.0,0.1736111111111111,0.7621951219512195,-0.7330827629298798,0.7330827629298798
550.0,0.175,0.7682926829268293,-0.7460144363454767,0.7460144363454767
550.0,0.1763888888888889,0.774390243902439,-0.7586758826694924,0.7586758826694924
550.0,0.17777777777777778,0.7804878048780488,-0.7710620573630274,0.7710620573630274
550.0,0.17916666666666667,0.7865853658536586,-0.7831680053893835,0.7831680053893835
550.0,0.18055555555555555,0.7926829268292683,-0.7949888598978329,0.7949888598978329
550.0,0.18194444444444444,0.798780487804878,-0.8065198458588332,0.8065198458588332
550.0,0.18333333333333332,0.8048780487804877,-0.8177562891537415,0.8177562891537415
550.0,0.18472222222222223,0.8109756097560976,-0.8286936126508107,0.8286936126508107
550.0,0.18611111111111112,0.8170731707317074,-0.8393273409366107,0.8393273409366107
550.0,0.1875,0.8231707317073171,-0.8496531008846891,0.8496531008846891
550.0,0.18888888888888888,0.8292682926829268,-0.8596666300484892,0.8596666300484892
550.0,0.19027777777777777,0.8353658536585366,-0.8693637814208606,0.8693637814208606
550.0,0.19166666666666668,0.8414634146341464,-0.8787405230378087,0.8787405230378087
550.0,0.19305555555555556,0.8475609756097562,-0.8877929355498633,0.8877929355498633
550.0,0.19444444444444445,0.8536585365853658,-0.8965172156542247,0.8965172156542247
