Q,stroke_phase,delta_x_mean,delta_x_std,delta_Theta_mean,delta_Theta_std,delta_Delta_mean,delta_Delta_std,delta_rho1_mean,delta_rho1_std,delta_rho2_mean,delta_rho2_std,delta_rho_sym_mean,delta_rho_sym_std,delta_rho_asym_mean,delta_rho_asym_std,delta_activity_mean,delta_activity_std,delta_kappa_mean,delta_kappa_std,H_total_mean,H_total_std,H_open_mean,H_open_std,H_phase_mean,H_phase_std,H_kappa_mean,H_kappa_std
522.25,0.08541666666666667,-0.010632659411417677,0.002037382489718536,-0.48985392092201124,0.05801014464595358,1.4695617627660331,0.17403043393786075,0.031432779360063896,0.0012232426453580184,0.0026781616484088046,0.0009580443321361557,0.02412007769974532,0.0015013499673521393,0.02033258517433812,0.0004001497061006379,-0.3063474023171677,0.03627867550402178,-0.00186627179712134,0.00035760662816186205,-2.4937298812980635,0.6918879733207111,-2.5682466859874107,0.6711282832836319,0.06698054602795027,0.019916026398279694,0.007536258661394337,0.002263620405985842
522.25,0.08958333333333333,-0.010774026400821967,0.0020138879467875804,-0.4938086015706638,0.05678763134649602,1.4814258047119921,0.17036289403948804,0.031351575651878745,0.0013146307699174365,0.0026099573930747516,0.0009704460977207535,0.02401443031557763,0.0015791534243030122,0.020323393173075393,0.00041987397193350847,-0.3088206013090936,0.03551413370000868,-0.0018910848956285565,0.00035348280540391534,-2.4461787065831064,0.7238358034870752,-2.522205789518457,0.7031216339137716,0.06833664701103712,0.019798308926081996,0.007690435924312481,0.0022510768474513134
522.25,0.09375,-0.010914052811885459,0.0019896406328019983,-0.49769372927825206,0.05554030778733794,1.4930811878347543,0.16662092336201376,0.03126488867700751,0.0014081604614932222,0.00254109914168353,0.000982714899837242,0.02390444323130626,0.0016576672843286334,0.020310786361802776,0.00044808886857570433,-0.3112503029139554,0.03473407586779327,-0.0019156626923685996,0.0003492268543293758,-2.3968831517520153,0.7557205474507237,-2.474412146859947,0.7350820544722253,0.06968519423690954,0.01966513204475534,0.007843800871021213,0.002236783561503078
522.25,0.09791666666666667,-0.011051454080804284,0.0019639924063497294,-0.501444319335432,0.05424653293509947,1.5043329580062967,0.16273959880529842,0.031167788552787377,0.0015036856145841926,0.0024710282486498304,0.000994675570767741,0.02378623547138821,0.0017368514184125346,0.02029167380914058,0.0004835256652422258,-0.31359586667403877,0.033924968179774875,-0.0019397797173902527,0.0003447250114863096,-2.3443342556116473,0.7871400235429606,-2.423347116152735,0.7666196642457115,0.07101745868105482,0.019501822506274705,0.007995401860032815,0.002219072016636944
522.25,0.10208333333333333,-0.011187298976890466,0.0019375815836335472,-0.5051168006559427,0.052927919704528016,1.5153504019678286,0.15878375911358403,0.031064837638644167,0.0016006413717908848,0.0024003053222659883,0.0010064786798656851,0.023663429521036818,0.0018164965645485098,0.020268885180451935,0.0005247783961790332,-0.3158925823683683,0.033100326865373814,-0.0019636235638390807,0.00034008931578058117,-2.2900130067133673,0.8183419203889133,-2.3704973284649875,0.7979654013918741,0.07233854011450808,0.019322887717443445,0.008145781637112584,0.002199589640701808
522.25,0.10625,-0.01132168916046771,0.0019104648181357197,-0.5087164358952868,0.051586800960227504,1.5261493076858612,0.1547604028806825,0.030956449452214194,0.0016988819680046245,0.002328979501514318,0.0010181338181172333,0.023536352527884483,0.0018965767534568922,0.02024267813035401,0.0005707828230177863,-0.3181437411898544,0.0322616108866574,-0.001987212075397237,0.0003353297111774839,-2.2340519555261174,0.8493390409980147,-2.315995995844449,0.8291299739324655,0.07364903590044332,0.019129521043767188,0.008295004417888531,0.0021784706527571305
522.25,0.11041666666666666,-0.011453213317378409,0.0018819340285463296,-0.5121747982010049,0.050199252104299784,1.5365243946030147,0.1505977563128993,0.030837787137369052,0.0017986044726493856,0.0022565574149672704,0.001029471301788294,0.023401235451881098,0.0019772052801555725,0.020209981351360803,0.00062084498094531,-0.3203065500544422,0.03139385840010217,-0.002010297534564584,0.00033032191341965253,-2.175094794428816,0.8797065423369216,-2.2584733406388553,0.8597027951234948,0.07493681586662343,0.018906796219205612,0.008441730343416309,0.0021540167697210203
522.25,0.11458333333333333,-0.011582884143812108,0.0018525312465730746,-0.5155432888995253,0.048785405140740284,1.5466298666985767,0.14635621542222088,0.030712770399568767,0.0018995282094705706,0.002183486318985387,0.0010405945917769676,0.02326116620134315,0.0020582526530013253,0.02017325023577791,0.0006742703756082901,-0.3224131545272115,0.030509659389710266,-0.002033057692387636,0.0003251610613100977,-2.1143566627020425,0.9096722660187171,-2.1991520683237007,0.8899007942420155,0.07620870215000926,0.018665984103817042,0.008586703471648336,0.0021275086841355158
522.25,0.11875,-0.011710885402092659,0.0018223647889008372,-0.5188309527829019,0.04734955723751379,1.5564928583487052,0.14204867171254135,0.03058205540025701,0.0020014869341778755,0.00210983601725864,0.0010515224793571402,0.02311665811113962,0.002139656722373665,0.020132899401149214,0.000730423563885587,-0.3244692110938773,0.029611701264213214,-0.002055524803303324,0.00031986616687265375,-2.052028099765977,0.9392729285968835,-2.138224346130273,0.9197577074430981,0.07746616153431482,0.018409301518846413,0.008730084829981404,0.002099196705404707
522.25,0.12291666666666666,-0.011835775915751672,0.0017908394613141878,-0.5219693601260527,0.04587318007627485,1.5659080803781587,0.13761954022882458,0.030440984866810003,0.0021043228502269375,0.002035161157072227,0.001062047149755439,0.02296410308029166,0.0022212204224722884,0.0200859505703452,0.0007888590755533625,-0.3264319248543792,0.028688396834236067,-0.002077445908301713,0.00031433276008386885,-1.9868759923066326,0.967967603647156,-2.0744420125194822,0.9487457621473984,0.0786956476977699,0.018123114030587865,0.008870372515080079,0.002067528428890517
522.25,0.12708333333333333,-0.011958632542740339,0.0017585133126343112,-0.5250114984715869,0.04437518678947618,1.5750344954147597,0.13312556036842857,0.03029340093278725,0.0022077192010513218,0.0019598697893603223,0.001072314146467554,0.02280650644307608,0.0023028410991515675,0.020034832006477408,0.0008490021033328034,-0.3283344333818708,0.02775157391653767,-0.0020990100202671726,0.0003086587911118145,-1.9200133521259062,0.9960841088566885,-2.0089276061503574,0.9771791895796811,0.07990574286612016,0.017819739407513312,0.009008511158331829,0.0020339029779260728
522.25,0.13125,-0.012079715682956432,0.0017255117907345957,-0.5279699056623737,0.042860340127693373,1.5839097169871215,0.1285810203830801,0.030140178964542953,0.002311605576864617,0.00188404949352826,0.0010823581730302657,0.02264454910496937,0.002384512957841895,0.019980100759039554,0.0009105589006764557,-0.3301845776682832,0.02680421109422733,-0.002120262845261221,0.00030286627889070615,-1.8516812743568416,1.0237048151097603,-1.941924785798286,1.0051371506479125,0.08109875585704172,0.01750197316739541,0.009144755584401724,0.0019986369180426417
522.25,0.13541666666666666,-0.012197586247125912,0.0016913061483402655,-0.5307782478655733,0.041311277980909555,1.5923347435967201,0.12393383394272868,0.029977058020027578,0.002415739135997815,0.0018073365834211004,0.0010919971273216555,0.022474960960007673,0.0024659898450079686,0.0199190010519605,0.0009732149729570462,-0.3319408735573441,0.025835450509970513,-0.002140951790623662,0.0002968624163354543,-1.7808547691897139,1.0503081379464483,-1.8723916925667607,1.0321083076296556,0.08225950856610052,0.017158386781953694,0.009277414810945885,0.001960429116291568
