history,period,amplitude_half_peak_to_peak,x_std,mean_support_power,mean_dissipation_power,mean_net_power,mean_abs_support_power,mean_local_excess_energy
low_history,254,2.6706904547868504e-06,1.9354963789451864e-06,1.187932731860467e-12,1.199078860876535e-12,-1.1146129016068156e-14,3.1332172038582877e-12,6.561768037140263e-12
low_history,255,2.6857724047812948e-06,1.8392940827378153e-06,1.2061222004763393e-12,1.3815890132444515e-12,-1.754668127681122e-13,3.1727749182652235e-12,6.368055841098004e-12
low_history,256,2.7044899651440524e-06,1.9213491617662303e-06,1.6103605748515588e-12,1.2898810245929903e-12,3.204795502585686e-13,3.364354953788329e-12,6.626274753189059e-12
low_history,257,2.720345693318915e-06,1.9296446724291136e-06,9.932946792852828e-13,1.3113072051988685e-12,-3.180125259135858e-13,3.209801005896484e-12,6.699205027844878e-12
low_history,258,2.7350232354450554e-06,1.875959899556356e-06,1.6435509423944896e-12,1.4304027867667739e-12,2.1314815562771555e-13,3.443312186760656e-12,6.6141491869375e-12
low_history,259,2.7544618698693846e-06,1.9962540993575774e-06,1.2786686439859618e-12,1.275308289745939e-12,3.3603542400228315e-15,3.3370729883341484e-12,6.979843894027937e-12
low_history,260,2.770613983404946e-06,1.8985168651152276e-06,1.2678191846831046e-12,1.4671334862066627e-12,-1.9931430152355834e-13,3.3719269690531397e-12,6.777561948520752e-12
low_history,261,2.7900169614902826e-06,1.9790739316865988e-06,1.7220610824968032e-12,1.376138607154399e-12,3.4592247534240407e-13,3.5851918180002064e-12,7.041641941728454e-12
low_history,262,2.805072351341753e-06,1.9927146994797566e-06,1.0572025664598283e-12,1.3906718453034377e-12,-3.334692788436092e-13,3.4157876547445935e-12,7.132801250953196e-12
low_history,263,2.8215233166539733e-06,1.933150149042187e-06,1.7378633221724098e-12,1.5241090070872997e-12,2.137543150851101e-13,3.653655147760712e-12,7.031221705625901e-12
low_history,264,2.8409317033017967e-06,2.0588230459053877e-06,1.3763739873786014e-12,1.3566080447980248e-12,1.976594258057649e-14,3.5536937182660116e-12,7.42438133056496e-12
low_history,265,2.856788421629064e-06,1.959764381158884e-06,1.3327720238180893e-12,1.5578411023828563e-12,-2.2506907856476685e-13,3.583906043163994e-12,7.213807880928524e-12
low_history,266,2.877441830112515e-06,2.038475099896821e-06,1.8408029508667157e-12,1.4681906257114068e-12,3.7261232515530906e-13,3.821106620348686e-12,7.48283595197051e-12
low_history,267,2.8929668166033373e-06,2.0577787302314676e-06,1.125962726860708e-12,1.4748623307844174e-12,-3.4889960392370935e-13,3.634957503322534e-12,7.594181667227156e-12
low_history,268,2.909927031335968e-06,1.992164873645408e-06,1.836889459662053e-12,1.6237453634821247e-12,2.1314409617992833e-13,3.879043052987766e-12,7.47471718751062e-12
low_history,269,2.9306326740641264e-06,2.123210775166692e-06,1.4814923899901046e-12,1.4432701518864246e-12,3.8222238103679794e-14,3.7831464546366075e-12,7.896729164289324e-12
low_history,270,2.946444894041944e-06,2.0230640765237047e-06,1.4011356454310529e-12,1.653951345633896e-12,-2.5281570020284284e-13,3.809054488665685e-12,7.678242789679241e-12
low_history,271,2.9661767730615463e-06,2.099616123346413e-06,1.9669824625947025e-12,1.5664364011306958e-12,4.0054606146400666e-13,4.074348341250117e-12,7.951543150627479e-12
low_history,272,2.9844717893412476e-06,2.1249146220032167e-06,1.2000028527987444e-12,1.5642156190113702e-12,-3.642127662126259e-13,3.865845080109482e-12,8.085273996210448e-12
low_history,273,3.0005764635188115e-06,2.0530895363914775e-06,1.940872343212611e-12,1.7297042049574982e-12,2.1116813825511307e-13,4.119231079792995e-12,7.94648922233712e-12
low_history,274,3.021710068412675e-06,2.18948816174729e-06,1.594576431026531e-12,1.535690266365238e-12,5.888616466129263e-14,4.0274562451586506e-12,8.398756845275415e-12
low_history,275,3.0389598150992736e-06,2.0885042958273284e-06,1.4731652218204881e-12,1.7558147043072466e-12,-2.826494824867585e-13,4.0470692793409974e-12,8.172856801263005e-12
low_history,276,3.056173899396164e-06,2.162555367752126e-06,2.101011749110774e-12,1.6712899909540046e-12,4.2972175815676937e-13,4.3442906549474955e-12,8.449517483204411e-12
