Q,anchor_index,anchor_s,phase_index,loop_phase,s_value,PC1,PC2,PC3
522.25,0,1165.777520408083,68,0.2833333333333333,1165.8408768895645,0.00254816776617597,0.0005234474534623183,-1.6291522321579018e-07
522.25,0,1165.777520408083,69,0.2875,1165.8418086025276,0.0025370197702097525,0.0005474382886053478,-1.5799842309029962e-07
522.25,0,1165.777520408083,70,0.2916666666666667,1165.8427403154906,0.002526013951222023,0.0005714552441076679,-1.5309922140814263e-07
522.25,0,1165.777520408083,71,0.29583333333333334,1165.8436720284535,0.0025148893635179785,0.0005954419454208066,-1.4816203936630653e-07
522.25,0,1165.777520408083,72,0.3,1165.8446037414164,0.0025041723780091178,0.0006195390843817107,-1.4328381915591773e-07
522.25,0,1165.777520408083,73,0.30416666666666664,1165.8455354543794,0.0024929828538994567,0.0006435088746317455,-1.38303899144499e-07
522.25,0,1165.777520408083,74,0.30833333333333335,1165.8464671673423,0.0024793659489474006,0.0006668295845485247,-1.3285766321672117e-07
522.25,0,1165.777520408083,75,0.3125,1165.8473988803053,0.002465065290610692,0.0006899682915750412,-1.2727040587657106e-07
522.25,0,1165.777520408083,76,0.31666666666666665,1165.8483305932682,0.002451207719353052,0.0007132244253894499,-1.2175163692045418e-07
522.25,0,1165.777520408083,77,0.3208333333333333,1165.8492623062311,0.0024372467176062428,0.000736450703035043,-1.1620023140565118e-07
522.25,0,1165.777520408083,78,0.325,1165.8501940191943,0.002423393978172207,0.0007597173233728563,-1.1064609940742658e-07
522.25,0,1165.777520408083,79,0.32916666666666666,1165.8511257321572,0.0024093726743820688,0.000782924037143208,-1.0505753833365373e-07
522.25,0,1165.777520408083,80,0.3333333333333333,1165.8520574451202,0.0023943246183351355,0.0008057811506788411,-9.931567298541256e-08
522.25,0,1165.777520408083,81,0.3375,1165.8529891580831,0.002378091931180794,0.0008282336964336146,-9.340361439191873e-08
522.25,0,1165.777520408083,82,0.3416666666666667,1165.853920871046,0.002361209531227032,0.0008504653700074588,-8.739042206319799e-08
522.25,0,1165.777520408083,83,0.3458333333333333,1165.854852584009,0.002344455519810753,0.0008727423736450442,-8.138004487924818e-08
522.25,0,1165.777520408083,84,0.35,1165.855784296972,0.002327642359129901,0.0008949902463262125,-7.53551701822224e-08
522.25,0,1165.777520408083,85,0.3541666666666667,1165.8567160099349,0.002310951417280311,0.0009172929519178286,-6.932305361111505e-08
522.25,0,1165.777520408083,86,0.35833333333333334,1165.8576477228978,0.0022945123124844466,0.0009397011247611152,-6.329622155364754e-08
522.25,0,1165.777520408083,87,0.3625,1165.858579435861,0.0022763156107610924,0.000961368327793335,-5.712875646632177e-08
522.25,0,1165.777520408083,88,0.36666666666666664,1165.859511148824,0.002256522339107973,0.0009823636057693418,-5.083171843420873e-08
522.25,0,1165.777520408083,89,0.37083333333333335,1165.8604428617869,0.0022370541331534033,0.0010034962314036501,-4.454641687434619e-08
522.25,0,1165.777520408083,90,0.375,1165.8613745747498,0.0022176627081733793,0.0010246577202442514,-3.825724044272783e-08
