Numberline_Q,Type,Step,E,Q,dt,||F||
92,Stiffness,130000,1.078e-15,9.200000000000e+01,8.272e-04,7.980e-06
93,Stiffness,129000,9.482e-16,9.300000000000e+01,1.151e-03,8.007e-06
94,Stiffness,127500,2.463e-15,9.400000000000e+01,1.072e-03,8.258e-06
95,Stiffness,126500,2.902e-15,9.500000000000e+01,1.243e-03,8.309e-06
96,Stiffness,125500,1.034e-15,9.600000000000e+01,8.646e-04,8.360e-06
97,Stiffness,124500,6.826e-16,9.700000000000e+01,7.217e-04,8.422e-06
98,Stiffness,123500,1.126e-16,9.800000000000e+01,1.205e-03,8.493e-06
99,Stiffness,122500,1.115e-16,9.900000000000e+01,1.207e-03,8.562e-06
100,Stiffness,121500,0.000e+00,1.000000000000e+02,6.995e-04,8.656e-06
101,Stiffness,120000,2.407e-15,1.010000000000e+02,7.544e-04,9.022e-06
102,Stiffness,119000,4.117e-15,1.020000000000e+02,1.259e-03,9.130e-06
103,Stiffness,118500,4.293e-16,1.030000000000e+02,7.847e-04,8.992e-06
104,Stiffness,117000,2.552e-15,1.040000000000e+02,7.581e-04,9.351e-06
105,Stiffness,116000,4.635e-15,1.050000000000e+02,1.265e-03,9.480e-06
106,Stiffness,115500,1.253e-15,1.060000000000e+02,1.314e-03,9.378e-06
107,Stiffness,114500,1.655e-15,1.070000000000e+02,1.137e-03,9.502e-06
108,Stiffness,113500,2.460e-15,1.080000000000e+02,1.099e-03,9.694e-06
109,Stiffness,112500,3.658e-15,1.090000000000e+02,1.101e-03,9.858e-06
110,Stiffness,111500,4.431e-15,1.100000000000e+02,1.102e-03,1.003e-05
111,Stiffness,111000,2.196e-15,1.110000000000e+02,1.145e-03,9.950e-06
112,Stiffness,110000,2.969e-15,1.120000000000e+02,1.189e-03,1.011e-05
113,Stiffness,109000,3.728e-15,1.130000000000e+02,8.269e-04,1.033e-05
114,Stiffness,108500,5.837e-16,1.140000000000e+02,7.692e-04,1.019e-05
115,Stiffness,107500,2.701e-15,1.150000000000e+02,1.284e-03,1.042e-05
116,Stiffness,106500,4.400e-15,1.160000000000e+02,1.072e-03,1.067e-05
117,Stiffness,106000,1.328e-15,1.170000000000e+02,8.014e-04,1.060e-05
118,Stiffness,105000,3.575e-15,1.180000000000e+02,9.633e-04,1.085e-05
119,Stiffness,104500,7.466e-16,1.190000000000e+02,1.245e-03,1.075e-05
120,Stiffness,103500,2.407e-15,1.200000000000e+02,7.480e-04,1.100e-05
121,Stiffness,103000,1.469e-15,1.210000000000e+02,1.119e-03,1.096e-05
122,Stiffness,102000,4.191e-15,1.220000000000e+02,1.120e-03,1.125e-05
123,Stiffness,101500,9.038e-16,1.230000000000e+02,7.238e-04,1.117e-05
124,Stiffness,100500,3.946e-15,1.240000000000e+02,8.093e-04,1.155e-05
125,Stiffness,100000,1.246e-15,1.250000000000e+02,7.806e-04,1.143e-05
126,Stiffness,99000,5.828e-15,1.260000000000e+02,1.086e-03,1.178e-05
127,Stiffness,98500,2.454e-15,1.270000000000e+02,1.010e-03,1.170e-05
128,Stiffness,97500,8.001e-15,1.280000000000e+02,1.171e-03,1.209e-05
129,Stiffness,97000,4.834e-15,1.290000000000e+02,1.089e-03,1.202e-05
130,Stiffness,96500,1.542e-15,1.300000000000e+02,1.013e-03,1.194e-05
131,Stiffness,95500,5.783e-15,1.310000000000e+02,8.159e-04,1.238e-05
132,Stiffness,95000,3.883e-15,1.320000000000e+02,1.312e-03,1.227e-05
133,Stiffness,94500,1.676e-15,1.330000000000e+02,8.172e-04,1.230e-05
134,Stiffness,93500,8.986e-15,1.340000000000e+02,1.137e-03,1.274e-05
135,Stiffness,93000,3.139e-15,1.350000000000e+02,7.615e-04,1.265e-05
136,Stiffness,92500,2.789e-15,1.360000000000e+02,7.908e-04,1.269e-05
137,Stiffness,92000,1.140e-15,1.370000000000e+02,1.022e-03,1.267e-05
138,Stiffness,91000,8.897e-15,1.380000000000e+02,1.228e-03,1.310e-05
139,Stiffness,90500,5.140e-15,1.390000000000e+02,7.652e-04,1.315e-05
140,Stiffness,90000,4.307e-15,1.400000000000e+02,9.887e-04,1.315e-05
141,Stiffness,89500,7.922e-16,1.410000000000e+02,7.947e-04,1.306e-05
142,Stiffness,89000,3.147e-16,1.420000000000e+02,1.375e-03,1.323e-05
143,Stiffness,88000,7.815e-15,1.430000000000e+02,1.190e-03,1.359e-05
144,Stiffness,87500,5.900e-15,1.440000000000e+02,1.068e-03,1.363e-05
145,Stiffness,87000,2.005e-15,1.450000000000e+02,7.153e-04,1.365e-05
146,Stiffness,86500,7.660e-16,1.460000000000e+02,9.242e-04,1.358e-05
147,Stiffness,85500,1.005e-14,1.470000000000e+02,1.071e-03,1.415e-05
148,Stiffness,85000,8.014e-15,1.480000000000e+02,1.196e-03,1.412e-05
149,Stiffness,84500,5.859e-15,1.490000000000e+02,9.273e-04,1.412e-05
150,Stiffness,84000,5.971e-15,1.500000000000e+02,1.156e-03,1.420e-05
151,Stiffness,83500,2.966e-15,1.510000000000e+02,8.958e-04,1.420e-05
152,Stiffness,83000,1.916e-15,1.520000000000e+02,1.157e-03,1.422e-05
153,Stiffness,82000,1.260e-14,1.530000000000e+02,1.159e-03,1.481e-05
154,Stiffness,81500,9.460e-15,1.540000000000e+02,1.078e-03,1.480e-05
155,Stiffness,81000,8.968e-15,1.550000000000e+02,1.393e-03,1.634e-05
156,Stiffness,80500,5.606e-15,1.560000000000e+02,9.002e-04,1.486e-05
157,Stiffness,80000,5.429e-15,1.570000000000e+02,1.163e-03,1.488e-05
158,Stiffness,79500,5.822e-15,1.580000000000e+02,1.007e-03,1.502e-05
159,Stiffness,79000,3.811e-15,1.590000000000e+02,1.124e-03,1.499e-05
160,Stiffness,78500,8.417e-16,1.600000000000e+02,1.254e-03,1.496e-05
161,Stiffness,77500,1.018e-14,1.610000000000e+02,7.271e-04,1.567e-05
